timestamp,title,score
1509962429.0,Donors Use Bitcoin for Tax Benefits and to Keep Tabs on Spending,0.3818
1537336804.0,"Bitcoin Miners Flock to New York’s Remote Corners, but Get Chilly Reception",0.0
1513945108.0,One of Bitcoin’s Biggest Champions Turns Bearish: DealBook Briefing,0.5267
1376471613.0,Daily Report: Bitcoin and Other Virtual Currencies Face Legal Scrutiny,0.128
1370904208.0,"Today’s Scuttlebot: Proof via Bitcoin, and Images From Sounds and Sand",0.0
1525451792.0,Should the Fed Create ‘FedCoin’ to Rival Bitcoin? A Former Top Official Says ‘Maybe’,0.4404
1512932490.0,"Jerusalem, Bitcoin, Nobel Peace Prize: Your Monday Briefing",0.7783
1496681062.0,Ask the Sketch Guy: Should I Finally Buy Some Bitcoin?,0.0
1576625781.0,"Trump Letter, F.B.I., Bitcoin: Your Tuesday Evening Briefing",0.0
1444061600.0,Winklevoss Twins Win Approval to Open Bitcoin Exchange,0.7845
1614264960.0,MicroStrategy adds another billion dollars of Bitcoin to its balance sheet.,0.0
1418338403.0,American Express Chief Ken Chenault Sees Potential in Bitcoin’s Technology,0.0
1407327471.0,Bitcoin Foundation Seeks More Time to Address Virtual Currency Rules,0.0
1413207788.0,Senate Adviser Jumps to Bitcoin Start-Up Coinbase,0.0
1417820358.0,Venture Capitalist Tim Draper Wins Small Piece of Bitcoin Auction,0.5719
1394107848.0,"Daily Report: To Ensure a Secure Future, Bitcoin Might Need Oversight",0.6124
1393344406.0,"Defending Bitcoin, Andreessen Says Mt. Gox Is ‘Like MF Global’",0.0
1395403918.0,Mt. Gox Says It Found Missing Bitcoin Worth About $116 Million,-0.0772
1403756304.0,What crackdown? China bitcoin future 'bright': BTC China CEO,0.0
1519863442.0,"Is Bitcoin a Waste of Electricity, or Something Worse?",-0.7096
1393578713.0,Blind evangelism next big threat to bitcoin after Gox bust,-0.7269
1523869422.0,New York Today: Living on Bitcoin,0.0
1613501879.0,They Found a Way to Limit Big Tech’s Power: Using the Design of Bitcoin,0.0
1513707412.0,How the Winklevoss Twins Found Vindication in a Bitcoin Fortune,0.0
1414530141.0,Former S.E.C. Chairman to Advise Two Prominent Bitcoin Companies,0.3182
1408557932.0,"Chain, a Bitcoin Start-Up, Raises $9.5 Million Led by Khosla Ventures",0.0
1426093664.0,Former JPMorgan Executive Blythe Masters Joins Bitcoin-Related Start-Up,0.0
1581524692.0,Dutch Police Hunt for Mail Bomber Who Demanded Bitcoin Payoff,-0.2263
